country,target_iso3,analysis_scope,n_mentions,n_speeches,n_speakers,first_year,last_year,mean_concreteness,mean_sentiment
NLD,TUR,reciprocal_asymmetry_candidate,2903,1385,144,2015,2022,3.284280744057871,1.7698866682059908
GRC,TUR,reciprocal_asymmetry_candidate,1814,868,224,2015,2022,3.24762789415656,1.2240248049680342
BEL,TUR,reciprocal_asymmetry_candidate,1387,462,91,2015,2022,3.2741550108147077,1.7759322289474981
POL,UKR,reciprocal_asymmetry_candidate,1244,643,291,2015,2022,3.2616262057877816,2.5326623787311386
NLD,GRC,reciprocal_asymmetry_candidate,1022,633,105,2015,2022,3.2725068493150684,1.7370097842299854
SWE,TUR,reciprocal_asymmetry_candidate,1022,424,89,2015,2022,3.286252446183953,1.633293539662016
CZE,UKR,reciprocal_asymmetry_candidate,997,383,116,2015,2022,3.2389067201604815,1.83152657627689
SVN,AUT,reciprocal_asymmetry_candidate,923,436,100,2015,2021,3.2727486457204766,1.8388916592276126
BEL,GRC,reciprocal_asymmetry_candidate,812,361,69,2015,2022,3.2630911330049264,1.819748771759272
CZE,TUR,reciprocal_asymmetry_candidate,690,191,46,2015,2022,3.2715391304347827,1.7984478310015444
NOR,GRC,reciprocal_asymmetry_candidate,649,284,75,2015,2021,3.2593097072419104,2.053355929767139
NLD,GBR,reciprocal_asymmetry_candidate,630,278,91,2015,2022,3.257479365079365,1.9846238085375507
EST,UKR,reciprocal_asymmetry_candidate,599,343,85,2015,2022,3.260068447412354,1.7840050114349824
BEL,GBR,reciprocal_asymmetry_candidate,590,326,74,2015,2022,3.274937288135593,1.807735591395995
SVN,HRV,reciprocal_asymmetry_candidate,579,286,83,2015,2022,3.284759930915371,1.8905751285262227
BEL,ITA,reciprocal_asymmetry_candidate,544,288,63,2015,2022,3.2553988970588232,1.7633382342882054
BGR,TUR,reciprocal_asymmetry_candidate,512,238,91,2015,2022,3.252103515625,1.9536035088890458
NLD,ITA,reciprocal_asymmetry_candidate,454,320,82,2015,2022,3.2644779735682823,1.7070991182863908
FIN,SWE,reciprocal_asymmetry_candidate,454,282,108,2015,2021,3.252647577092511,1.7273986815661602
BEL,UKR,reciprocal_asymmetry_candidate,447,212,71,2015,2022,3.2638501118568235,1.7527561529822882
BEL,NLD,reciprocal_asymmetry_candidate,407,275,85,2015,2022,3.25814742014742,2.1774496254110733
CZE,GRC,reciprocal_asymmetry_candidate,401,148,43,2015,2022,3.2689576059850376,2.014014965241445
HRV,UKR,reciprocal_asymmetry_candidate,400,182,72,2015,2022,3.2231525,3.013780001311097
ISL,GRC,reciprocal_asymmetry_candidate,384,162,35,2015,2022,3.2618229166666666,1.0086979181408726
AUT,TUR,reciprocal_asymmetry_candidate,371,184,82,2015,2022,3.270768194070081,1.3180431324174011
EST,FIN,reciprocal_asymmetry_candidate,339,188,68,2015,2022,3.2840796460176995,1.9195988141796978
CZE,HUN,reciprocal_asymmetry_candidate,333,169,60,2015,2022,3.244207207207207,1.649489497547751
NLD,UKR,reciprocal_asymmetry_candidate,325,203,75,2015,2022,3.2610830769230774,1.7051569168341274
SVN,ITA,reciprocal_asymmetry_candidate,321,183,47,2015,2022,3.2580809968847353,1.7013894102370768
POL,GBR,reciprocal_asymmetry_candidate,314,115,73,2016,2022,3.2439936305732484,2.530802541060201
SWE,UKR,reciprocal_asymmetry_candidate,309,176,88,2015,2022,3.256035598705502,1.9943592180723992
NOR,UKR,reciprocal_asymmetry_candidate,295,130,69,2015,2022,3.247583050847458,2.0110983061398997
NOR,TUR,reciprocal_asymmetry_candidate,282,142,56,2015,2021,3.27431914893617,1.843109922287061
HRV,SRB,reciprocal_asymmetry_candidate,280,177,78,2015,2022,3.2482821428571427,1.580949991750614
NOR,SWE,reciprocal_asymmetry_candidate,274,197,84,2015,2022,3.2551313868613136,2.0781824781294285
HUN,UKR,reciprocal_asymmetry_candidate,273,165,83,2015,2022,3.239604395604396,2.3839780178753447
ISL,UKR,reciprocal_asymmetry_candidate,270,147,46,2015,2022,3.2364296296296295,1.6466111072511584
SVN,GRC,reciprocal_asymmetry_candidate,266,166,52,2015,2022,3.2480977443609023,1.820067674793387
AUT,GRC,reciprocal_asymmetry_candidate,263,146,74,2015,2022,3.2773117870722435,1.5433764290471805
SVN,HUN,reciprocal_asymmetry_candidate,262,173,57,2015,2022,3.257847328244275,1.6028625963589902
NLD,HUN,reciprocal_asymmetry_candidate,261,195,74,2015,2022,3.267471264367816,1.6530881171244984
NLD,POL,reciprocal_asymmetry_candidate,246,182,84,2015,2022,3.2609471544715447,1.6965040675576444
HRV,TUR,reciprocal_asymmetry_candidate,238,106,45,2015,2022,3.258546218487395,1.92929831676101
HUN,SRB,reciprocal_asymmetry_candidate,235,138,59,2015,2022,3.2602382978723403,1.7501617058358612
HUN,TUR,reciprocal_asymmetry_candidate,234,136,67,2015,2022,3.2500213675213674,1.7759487208647606
SVN,TUR,reciprocal_asymmetry_candidate,231,118,36,2015,2022,3.256761904761905,1.5349220813814455
HUN,AUT,reciprocal_asymmetry_candidate,228,162,74,2015,2022,3.237342105263158,1.6063157810355748
BGR,UKR,reciprocal_asymmetry_candidate,217,126,67,2015,2022,3.241069124423963,1.7956036911351383
HRV,GBR,reciprocal_asymmetry_candidate,212,70,36,2015,2022,3.2624481132075474,2.6860424581967854
FRA,GBR,reciprocal_asymmetry_candidate,208,124,57,2017,2022,3.2598317307692306,1.467552893078671
HUN,GRC,reciprocal_asymmetry_candidate,206,123,56,2015,2021,3.254106796116505,1.5099466026588841
BEL,ESP,reciprocal_asymmetry_candidate,206,121,51,2015,2022,3.2544660194174755,1.8089611632952882
AUT,HUN,reciprocal_asymmetry_candidate,199,125,71,2015,2022,3.273793969849246,1.8113417030141301
SWE,GRC,reciprocal_asymmetry_candidate,193,116,48,2015,2022,3.2634352331606213,1.5312435231219803
BEL,HUN,reciprocal_asymmetry_candidate,191,122,42,2015,2022,3.2372984293193716,1.3001361248224819
FIN,TUR,reciprocal_asymmetry_candidate,187,102,45,2015,2021,3.266251336898396,1.6837540102006996
BGR,GRC,reciprocal_asymmetry_candidate,184,110,51,2015,2021,3.2701358695652174,2.0091195652747285
NOR,GBR,reciprocal_asymmetry_candidate,184,137,73,2015,2022,3.2308695652173913,2.0667554336883454
EST,SWE,reciprocal_asymmetry_candidate,181,116,41,2015,2022,3.267060773480663,1.6983204466002628
SRB,HRV,reciprocal_asymmetry_candidate,181,88,41,2015,2022,3.2716629834254145,1.5485690584051222
BEL,POL,reciprocal_asymmetry_candidate,180,115,47,2015,2022,3.257738888888889,1.593988892968951
AUT,ITA,reciprocal_asymmetry_candidate,179,123,72,2015,2022,3.2743798882681565,1.429564239171089
CZE,AUT,reciprocal_asymmetry_candidate,177,102,38,2015,2022,3.2671129943502826,1.8848079124729986
AUT,UKR,reciprocal_asymmetry_candidate,177,85,59,2015,2022,3.256084745762712,1.8379660971050997
ESP,GRC,reciprocal_asymmetry_candidate,174,87,54,2015,2022,3.2193965517241376,1.844160914340795
HUN,GBR,reciprocal_asymmetry_candidate,173,92,65,2015,2021,3.2206069364161847,2.1949768700782273
EST,TUR,reciprocal_asymmetry_candidate,173,97,33,2015,2022,3.2591676300578034,2.1188728239850243
PRT,TUR,reciprocal_asymmetry_candidate,173,80,34,2015,2022,3.2145491329479765,1.0925028825991632
ESP,TUR,reciprocal_asymmetry_candidate,172,66,48,2015,2022,3.2269127906976744,1.4794127928177003
EST,LVA,reciprocal_asymmetry_candidate,168,114,34,2015,2022,3.288273809523809,1.8058392859744519
ITA,TUR,reciprocal_asymmetry_candidate,164,101,66,2013,2022,3.237115853658537,1.3330182951744418
GRC,ITA,reciprocal_asymmetry_candidate,162,127,78,2015,2022,3.2396851851851847,1.7601111039611292
ISL,SWE,reciprocal_asymmetry_candidate,162,86,41,2015,2022,3.2518333333333334,2.0069567979669864
ISL,NOR,reciprocal_asymmetry_candidate,158,92,35,2015,2022,3.2382658227848102,1.87363290937641
TUR,GRC,reciprocal_asymmetry_candidate,158,105,66,2015,2022,3.266113924050633,0.7925506364038403
CZE,ITA,reciprocal_asymmetry_candidate,156,92,36,2015,2022,3.245980769230769,1.366628211417731
SWE,HUN,reciprocal_asymmetry_candidate,153,103,57,2015,2022,3.248300653594771,1.1914313701924935
HRV,SVN,reciprocal_asymmetry_candidate,150,95,51,2015,2022,3.2742066666666667,1.9554133313459654
HRV,AUT,reciprocal_asymmetry_candidate,148,106,54,2015,2022,3.24897972972973,1.8717499991400621
HRV,BIH,reciprocal_asymmetry_candidate,146,88,44,2015,2022,3.291993150684932,1.6673493101054242
NLD,BEL,reciprocal_asymmetry_candidate,146,121,60,2015,2022,3.273883561643836,1.772157539410217
ESP,ITA,reciprocal_asymmetry_candidate,146,88,47,2015,2022,3.212369863013699,1.9877876643958974
BIH,GBR,reciprocal_asymmetry_candidate,143,8,6,2015,2021,3.637594405594406,2.6796644060901804
HUN,POL,reciprocal_asymmetry_candidate,141,94,50,2015,2022,3.236099290780142,1.8288439740525915
HUN,ITA,reciprocal_asymmetry_candidate,139,111,49,2015,2022,3.2280575539568344,1.6699928047684887
FRA,ITA,reciprocal_asymmetry_candidate,138,113,57,2017,2022,3.2364130434782608,1.2511159436476915
CZE,GBR,reciprocal_asymmetry_candidate,134,66,37,2015,2022,3.2082388059701494,1.9439104527196804
BIH,HRV,reciprocal_asymmetry_candidate,133,69,35,2015,2022,3.289436090225564,1.848736829173408
EST,POL,reciprocal_asymmetry_candidate,132,97,38,2015,2022,3.2472575757575757,1.4785606029274112
SWE,NOR,reciprocal_asymmetry_candidate,131,93,52,2015,2022,3.2748167938931294,1.8417099317578414
HRV,HUN,reciprocal_asymmetry_candidate,128,91,49,2015,2022,3.24709375,1.35477343317325
LVA,UKR,reciprocal_asymmetry_candidate,127,80,41,2015,2022,3.244984251968504,2.07246456080021
NLD,ESP,reciprocal_asymmetry_candidate,125,98,51,2015,2022,3.269856,1.6891200027503073
HRV,ITA,reciprocal_asymmetry_candidate,125,92,46,2015,2022,3.230792,1.842247995971702
NOR,ITA,reciprocal_asymmetry_candidate,125,91,49,2015,2021,3.234496,2.0256479996442796
SWE,GBR,reciprocal_asymmetry_candidate,123,74,42,2015,2022,3.1939512195121953,2.3737560918145792
BEL,AUT,reciprocal_asymmetry_candidate,122,92,32,2015,2022,3.2450573770491804,1.913245901495951
CZE,POL,reciprocal_asymmetry_candidate,120,78,37,2015,2022,3.2370916666666667,1.6915166623230713
