country,target_iso3,analysis_scope,n_mentions,n_speeches,n_speakers,first_year,last_year,mean_concreteness,mean_sentiment
NLD,TUR,reciprocal_asymmetry_candidate,2903,1385,144,2015,2022,3.284280744057871,1.7698866682059908
GRC,TUR,reciprocal_asymmetry_candidate,1814,868,224,2015,2022,3.24762789415656,1.2240248049680342
BEL,TUR,reciprocal_asymmetry_candidate,1387,462,91,2015,2022,3.2741550108147077,1.7759322289474981
POL,UKR,reciprocal_asymmetry_candidate,1244,643,291,2015,2022,3.2616262057877816,2.5326623787311386
TUR,SYR,external_target_salience,1082,568,248,2015,2022,3.25600831792976,1.2235462111250932
NLD,GRC,reciprocal_asymmetry_candidate,1022,633,105,2015,2022,3.2725068493150684,1.7370097842299854
SWE,TUR,reciprocal_asymmetry_candidate,1022,424,89,2015,2022,3.286252446183953,1.633293539662016
NLD,SYR,external_target_salience,997,691,142,2015,2022,3.267098294884654,1.3511975885314238
CZE,UKR,reciprocal_asymmetry_candidate,997,383,116,2015,2022,3.2389067201604815,1.83152657627689
SVN,AUT,reciprocal_asymmetry_candidate,923,436,100,2015,2021,3.2727486457204766,1.8388916592276126
BEL,GRC,reciprocal_asymmetry_candidate,812,361,69,2015,2022,3.2630911330049264,1.819748771759272
BEL,SYR,external_target_salience,717,422,97,2015,2022,3.269428172942817,1.4684156222392986
CZE,TUR,reciprocal_asymmetry_candidate,690,191,46,2015,2022,3.2715391304347827,1.7984478310015444
NOR,GRC,reciprocal_asymmetry_candidate,649,284,75,2015,2021,3.2593097072419104,2.053355929767139
NLD,GBR,reciprocal_asymmetry_candidate,630,278,91,2015,2022,3.257479365079365,1.9846238085375507
EST,UKR,reciprocal_asymmetry_candidate,599,343,85,2015,2022,3.260068447412354,1.7840050114349824
EST,RUS,external_target_salience,597,304,77,2015,2022,3.212579564489112,1.2287688431801147
BEL,GBR,reciprocal_asymmetry_candidate,590,326,74,2015,2022,3.274937288135593,1.807735591395995
SVN,HRV,reciprocal_asymmetry_candidate,579,286,83,2015,2022,3.284759930915371,1.8905751285262227
SWE,SYR,external_target_salience,572,412,127,2015,2022,3.266590909090909,1.4715297172699608
NLD,DEU,external_target_salience,563,441,124,2015,2022,3.2684671403197156,1.891412072087974
SVN,DEU,external_target_salience,561,318,82,2015,2022,3.2518627450980393,1.7160659501384679
BEL,ITA,reciprocal_asymmetry_candidate,544,288,63,2015,2022,3.2553988970588232,1.7633382342882054
NOR,AFG,external_target_salience,529,221,78,2015,2022,3.258243856332703,1.4926011356871067
BGR,TUR,reciprocal_asymmetry_candidate,512,238,91,2015,2022,3.252103515625,1.9536035088890458
NOR,SYR,external_target_salience,500,277,87,2015,2022,3.25069,1.9422679956760258
ITA,LBY,external_target_salience,486,274,128,2013,2022,3.2239423868312755,1.6236543187017862
NLD,ITA,reciprocal_asymmetry_candidate,454,320,82,2015,2022,3.2644779735682823,1.7070991182863908
FIN,SWE,reciprocal_asymmetry_candidate,454,282,108,2015,2021,3.252647577092511,1.7273986815661602
AUT,DEU,external_target_salience,450,295,111,2015,2022,3.265722222222222,1.7014400032571413
SWE,AFG,external_target_salience,449,242,77,2015,2022,3.256008908685969,1.6074521165768427
BEL,UKR,reciprocal_asymmetry_candidate,447,212,71,2015,2022,3.2638501118568235,1.7527561529822882
CZE,DEU,external_target_salience,441,239,73,2015,2022,3.2452698412698413,1.345637190532121
BEL,NLD,reciprocal_asymmetry_candidate,407,275,85,2015,2022,3.25814742014742,2.1774496254110733
NLD,LBY,external_target_salience,404,235,66,2015,2021,3.276418316831683,1.3699529733665006
CZE,GRC,reciprocal_asymmetry_candidate,401,148,43,2015,2022,3.2689576059850376,2.014014965241445
HRV,UKR,reciprocal_asymmetry_candidate,400,182,72,2015,2022,3.2231525,3.013780001311097
BEL,DEU,external_target_salience,396,262,72,2015,2022,3.268671717171717,1.99121212263855
NLD,MAR,external_target_salience,386,239,84,2015,2022,3.2705492227979276,1.4538082859009611
ISL,GRC,reciprocal_asymmetry_candidate,384,162,35,2015,2022,3.2618229166666666,1.0086979181408726
HUN,DEU,external_target_salience,378,254,86,2015,2022,3.2309920634920637,1.2951164016914036
BEL,SDN,external_target_salience,376,140,39,2015,2022,3.2493723404255315,1.5038723404224505
NLD,CUW,external_target_salience,372,167,48,2015,2022,3.353873655913979,1.692677416441892
FIN,IRQ,external_target_salience,371,208,79,2015,2021,3.2293315363881403,1.8920646869229791
AUT,TUR,reciprocal_asymmetry_candidate,371,184,82,2015,2022,3.270768194070081,1.3180431324174011
ESP,MAR,external_target_salience,365,165,73,2015,2022,3.2532630136986302,1.4219561590924732
GRC,USA,external_target_salience,356,226,110,2015,2022,3.2497303370786517,1.1140140453719776
GRC,DEU,external_target_salience,355,265,117,2015,2022,3.2615577464788736,1.4786253483257663
CZE,SYR,external_target_salience,350,173,60,2015,2022,3.251245714285714,1.6593600017394472
GBR,LBY,external_target_salience,349,231,120,2015,2022,3.234951289398281,1.7019083045561796
POL,BLR,external_target_salience,348,185,124,2015,2022,3.273977011494253,1.5804252842462612
BEL,AFG,external_target_salience,344,176,51,2015,2022,3.2505,1.623593021365259
BEL,MAR,external_target_salience,340,167,50,2015,2022,3.2570382352941176,1.8349735251052635
SWE,DNK,external_target_salience,339,198,79,2015,2022,3.2783038348082596,1.9329262569197796
EST,FIN,reciprocal_asymmetry_candidate,339,188,68,2015,2022,3.2840796460176995,1.9195988141796978
HRV,DEU,external_target_salience,338,224,84,2015,2022,3.250325443786982,1.5165207108765835
BEL,LBY,external_target_salience,336,169,56,2015,2022,3.258077380952381,1.551312497345775
CZE,HUN,reciprocal_asymmetry_candidate,333,169,60,2015,2022,3.244207207207207,1.649489497547751
NOR,RUS,external_target_salience,331,163,71,2015,2022,3.2547311178247735,1.7147794478204315
NLD,UKR,reciprocal_asymmetry_candidate,325,203,75,2015,2022,3.2610830769230774,1.7051569168341274
SVN,ITA,reciprocal_asymmetry_candidate,321,183,47,2015,2022,3.2580809968847353,1.7013894102370768
NLD,AFG,external_target_salience,317,204,79,2015,2022,3.2657697160883283,1.476971610126817
ISL,USA,external_target_salience,314,218,82,2015,2022,3.2796337579617836,2.0229044590726684
POL,GBR,reciprocal_asymmetry_candidate,314,115,73,2016,2022,3.2439936305732484,2.530802541060201
NLD,LBN,external_target_salience,309,238,59,2015,2022,3.259673139158576,1.707071195076247
SWE,UKR,reciprocal_asymmetry_candidate,309,176,88,2015,2022,3.256035598705502,1.9943592180723992
NOR,UKR,reciprocal_asymmetry_candidate,295,130,69,2015,2022,3.247583050847458,2.0110983061398997
BEL,LBN,external_target_salience,294,152,54,2015,2022,3.2810986394557826,1.9732006816411245
ISL,DNK,external_target_salience,293,125,35,2015,2022,3.2454368600682595,1.7947030743590393
AUT,SYR,external_target_salience,287,208,90,2015,2022,3.255745644599303,1.299268290147393
NOR,TUR,reciprocal_asymmetry_candidate,282,142,56,2015,2021,3.27431914893617,1.843109922287061
HRV,SRB,reciprocal_asymmetry_candidate,280,177,78,2015,2022,3.2482821428571427,1.580949991750614
HUN,USA,external_target_salience,275,141,63,2015,2022,3.2480072727272726,1.286869094913656
NOR,SWE,reciprocal_asymmetry_candidate,274,197,84,2015,2022,3.2551313868613136,2.0781824781294285
HUN,UKR,reciprocal_asymmetry_candidate,273,165,83,2015,2022,3.239604395604396,2.3839780178753447
ISL,UKR,reciprocal_asymmetry_candidate,270,147,46,2015,2022,3.2364296296296295,1.6466111072511584
SVN,GRC,reciprocal_asymmetry_candidate,266,166,52,2015,2022,3.2480977443609023,1.820067674793387
AUT,GRC,reciprocal_asymmetry_candidate,263,146,74,2015,2022,3.2773117870722435,1.5433764290471805
SVN,HUN,reciprocal_asymmetry_candidate,262,173,57,2015,2022,3.257847328244275,1.6028625963589902
NLD,HUN,reciprocal_asymmetry_candidate,261,195,74,2015,2022,3.267471264367816,1.6530881171244984
BEL,IRQ,external_target_salience,261,195,60,2015,2022,3.2494291187739464,1.7055593887629465
GRC,SYR,external_target_salience,257,198,104,2015,2021,3.24131906614786,0.9311828792008212
NLD,ABW,external_target_salience,252,128,47,2015,2022,3.262472222222222,1.744940477074124
NLD,POL,reciprocal_asymmetry_candidate,246,182,84,2015,2022,3.2609471544715447,1.6965040675576444
TUR,USA,external_target_salience,243,135,96,2015,2022,3.499814814814815,1.684399174095166
POL,DEU,external_target_salience,239,171,117,2015,2022,3.2627824267782426,1.7787991576598154
NLD,USA,external_target_salience,238,166,84,2015,2022,3.2546134453781512,1.6601680740714073
HRV,TUR,reciprocal_asymmetry_candidate,238,106,45,2015,2022,3.258546218487395,1.92929831676101
HUN,SRB,reciprocal_asymmetry_candidate,235,138,59,2015,2022,3.2602382978723403,1.7501617058358612
HUN,TUR,reciprocal_asymmetry_candidate,234,136,67,2015,2022,3.2500213675213674,1.7759487208647606
SVN,TUR,reciprocal_asymmetry_candidate,231,118,36,2015,2022,3.256761904761905,1.5349220813814455
TUR,DEU,external_target_salience,229,100,63,2015,2022,3.2709825327510913,1.7179519640816596
HUN,AUT,reciprocal_asymmetry_candidate,228,162,74,2015,2022,3.237342105263158,1.6063157810355748
NLD,JOR,external_target_salience,218,178,58,2015,2022,3.262137614678899,1.9074266069235468
BGR,UKR,reciprocal_asymmetry_candidate,217,126,67,2015,2022,3.241069124423963,1.7956036911351383
POL,RUS,external_target_salience,214,160,119,2015,2022,3.2302196261682243,1.566593456950265
HRV,GBR,reciprocal_asymmetry_candidate,212,70,36,2015,2022,3.2624481132075474,2.6860424581967854
BEL,USA,external_target_salience,211,117,55,2015,2022,3.283293838862559,1.6138009466275007
ISL,SYR,external_target_salience,209,144,51,2015,2022,3.2507607655502393,1.3368181855769818
FRA,GBR,reciprocal_asymmetry_candidate,208,124,57,2017,2022,3.2598317307692306,1.467552893078671
HUN,GRC,reciprocal_asymmetry_candidate,206,123,56,2015,2021,3.254106796116505,1.5099466026588841
BEL,ESP,reciprocal_asymmetry_candidate,206,121,51,2015,2022,3.2544660194174755,1.8089611632952882
AUT,AFG,external_target_salience,202,118,63,2015,2022,3.2550742574257425,1.4232722781575515
FIN,AFG,external_target_salience,201,120,69,2015,2021,3.2203830845771146,1.7496716513550974
SWE,DEU,external_target_salience,201,172,74,2015,2022,3.2414477611940296,2.1524626967863214
NLD,IRQ,external_target_salience,199,159,76,2015,2022,3.254793969849246,1.3467537728032968
AUT,HUN,reciprocal_asymmetry_candidate,199,125,71,2015,2022,3.273793969849246,1.8113417030141301
