country,target_iso3,source_year,analysis_scope,n_mentions,n_speeches,n_speakers,mean_concreteness,mean_sentiment
AUT,UKR,2015,reciprocal_asymmetry_candidate,6,6,6,3.2406666666666664,0.8176666529616341
AUT,UKR,2016,reciprocal_asymmetry_candidate,6,6,6,3.2488333333333337,0.882333350678285
AUT,UKR,2017,reciprocal_asymmetry_candidate,4,4,4,3.2095000000000002,2.40899994969368
AUT,UKR,2018,reciprocal_asymmetry_candidate,6,5,5,3.2228333333333334,0.6391666829586029
AUT,UKR,2019,reciprocal_asymmetry_candidate,1,1,1,3.179,0.44600000977516174
AUT,UKR,2020,reciprocal_asymmetry_candidate,3,2,2,3.2903333333333333,1.6279999713102977
AUT,UKR,2021,reciprocal_asymmetry_candidate,2,2,2,3.279,1.3874999731779099
AUT,UKR,2022,reciprocal_asymmetry_candidate,149,59,42,3.259107382550335,1.9700939556991606
BEL,UKR,2015,reciprocal_asymmetry_candidate,8,4,3,3.253,1.9990000007674098
BEL,UKR,2016,reciprocal_asymmetry_candidate,1,1,1,3.233,0.6349999904632568
BEL,UKR,2017,reciprocal_asymmetry_candidate,15,6,5,3.2794666666666665,2.5983999729156495
BEL,UKR,2019,reciprocal_asymmetry_candidate,1,1,1,3.132,0.9160000085830688
BEL,UKR,2020,reciprocal_asymmetry_candidate,2,2,1,3.223,1.5799999833106995
BEL,UKR,2021,reciprocal_asymmetry_candidate,2,2,2,3.257,1.0429999977350235
BEL,UKR,2022,reciprocal_asymmetry_candidate,418,196,63,3.2641148325358853,1.7265956957465813
BGR,UKR,2015,reciprocal_asymmetry_candidate,34,18,11,3.233735294117647,1.682117650672273
BGR,UKR,2016,reciprocal_asymmetry_candidate,15,11,8,3.2260666666666666,1.3335333287715911
BGR,UKR,2017,reciprocal_asymmetry_candidate,3,3,3,3.1826666666666665,3.1536667396624884
BGR,UKR,2018,reciprocal_asymmetry_candidate,6,4,3,3.1988333333333334,1.7909999986489613
BGR,UKR,2019,reciprocal_asymmetry_candidate,1,1,1,3.2,4.501999855041504
