country,target_iso3,source_year,analysis_scope,n_mentions,n_speeches,n_speakers,mean_concreteness,mean_sentiment
GBR,ABW,2020,external_target_salience,1,1,1,3.249,0.9789999723434448
NLD,ABW,2015,external_target_salience,4,3,3,3.3005,1.9665000140666962
NLD,ABW,2016,external_target_salience,128,52,16,3.265203125,1.748664059330622
NLD,ABW,2017,external_target_salience,3,3,3,3.2526666666666664,1.6889999508857727
NLD,ABW,2018,external_target_salience,41,24,14,3.253219512195122,1.5466097561733387
NLD,ABW,2019,external_target_salience,52,28,9,3.267076923076923,1.8004230875521898
NLD,ABW,2020,external_target_salience,13,9,7,3.263153846153846,1.6716153919696808
NLD,ABW,2021,external_target_salience,10,8,5,3.2363999999999997,2.158000010997057
NLD,ABW,2022,external_target_salience,1,1,1,3.182,2.61899995803833
AUT,AFG,2015,external_target_salience,24,17,14,3.2721250000000004,1.7185416734040093
AUT,AFG,2016,external_target_salience,25,22,17,3.2348399999999997,1.0316800072044134
AUT,AFG,2017,external_target_salience,13,11,10,3.2624615384615385,1.2099999819810574
AUT,AFG,2018,external_target_salience,48,13,11,3.2752708333333334,1.7260416739542659
AUT,AFG,2019,external_target_salience,12,10,9,3.2246666666666663,1.387833341024816
AUT,AFG,2020,external_target_salience,12,5,4,3.2904166666666668,0.7330833266799649
AUT,AFG,2021,external_target_salience,49,27,20,3.231326530612245,1.1315714264364571
AUT,AFG,2022,external_target_salience,19,13,9,3.2622105263157892,2.1571578854008724
BEL,AFG,2015,external_target_salience,28,15,8,3.260892857142857,1.590035714741264
BEL,AFG,2016,external_target_salience,18,17,9,3.2370555555555556,1.5972222118741937
BEL,AFG,2017,external_target_salience,25,11,5,3.2527600000000003,2.0424000057578087
BEL,AFG,2018,external_target_salience,7,4,3,3.255857142857143,1.6731429078749247
BEL,AFG,2019,external_target_salience,15,9,6,3.2695999999999996,1.599200008312861
BEL,AFG,2020,external_target_salience,7,7,5,3.239857142857143,2.2314285742385045
BEL,AFG,2021,external_target_salience,162,67,26,3.248388888888889,1.6425864170247941
BEL,AFG,2022,external_target_salience,82,46,15,3.2503414634146344,1.4239756014842608
BGR,AFG,2015,external_target_salience,11,8,7,3.2015454545454545,1.8055454790592194
BGR,AFG,2016,external_target_salience,12,11,8,3.25225,2.164249956685429
BGR,AFG,2018,external_target_salience,5,2,2,3.2844,1.4735999941825866
BGR,AFG,2019,external_target_salience,2,1,1,3.303,2.853500008583069
BGR,AFG,2020,external_target_salience,3,2,2,3.2663333333333333,0.3109999895095825
BGR,AFG,2021,external_target_salience,45,23,15,3.243888888888889,1.4555777721107006
BGR,AFG,2022,external_target_salience,2,2,2,3.2855,0.22149999346584082
BIH,AFG,2015,external_target_salience,1,1,1,3.201,0.49000000953674316
BIH,AFG,2016,external_target_salience,1,1,1,3.212,1.88100004196167
BIH,AFG,2018,external_target_salience,2,2,2,3.2394999999999996,1.2629999816417694
BIH,AFG,2020,external_target_salience,2,2,2,3.198,2.187999963760376
BIH,AFG,2021,external_target_salience,3,3,3,3.2246666666666663,1.3986666739607851
CZE,AFG,2015,external_target_salience,16,12,7,3.24275,1.2246250044554472
CZE,AFG,2016,external_target_salience,45,21,8,3.229111111111111,2.1822888967063694
CZE,AFG,2017,external_target_salience,17,8,6,3.2454705882352943,2.5814705699243965
CZE,AFG,2018,external_target_salience,5,4,3,3.3324,1.1174000069499015
CZE,AFG,2019,external_target_salience,4,4,3,3.2475,2.0257500056177378
CZE,AFG,2020,external_target_salience,12,8,4,3.2555,1.0328333340585232
CZE,AFG,2021,external_target_salience,2,2,2,3.215,2.057500107213855
CZE,AFG,2022,external_target_salience,2,2,2,3.2155,1.3055000025779009
ESP,AFG,2015,external_target_salience,4,4,4,3.19475,0.5935000120662153
ESP,AFG,2016,external_target_salience,1,1,1,3.173,0.5529999732971191
ESP,AFG,2017,external_target_salience,3,3,3,3.2216666666666662,0.5860000078876814
ESP,AFG,2018,external_target_salience,2,1,1,3.232,0.45899999141693115
ESP,AFG,2019,external_target_salience,1,1,1,3.245,0.0560000017285347
ESP,AFG,2021,external_target_salience,11,7,6,3.220181818181818,4.120181831446561
ESP,AFG,2022,external_target_salience,7,6,4,3.189285714285714,2.3355714614902223
EST,AFG,2015,external_target_salience,7,5,3,3.2562857142857142,1.291857167280146
EST,AFG,2016,external_target_salience,3,3,3,3.174,2.599000006914139
EST,AFG,2021,external_target_salience,22,13,11,3.2665909090909087,1.6102727263827215
EST,AFG,2022,external_target_salience,2,2,1,3.255,0.8585000038146973
FIN,AFG,2015,external_target_salience,13,11,10,3.2413846153846153,1.556846163307245
FIN,AFG,2016,external_target_salience,20,14,12,3.2494500000000004,2.3088000109419227
FIN,AFG,2017,external_target_salience,16,8,7,3.233625,1.4961249788902933
FIN,AFG,2018,external_target_salience,52,23,18,3.2119230769230773,1.7942692418940938
FIN,AFG,2019,external_target_salience,8,8,5,3.204125,1.6141250152140856
FIN,AFG,2020,external_target_salience,4,4,3,3.16575,0.9142499901354313
FIN,AFG,2021,external_target_salience,88,52,36,3.2172272727272726,1.7211250142903405
FRA,AFG,2017,external_target_salience,2,2,2,3.245,0.9725000183098018
FRA,AFG,2018,external_target_salience,6,5,5,3.2129999999999996,1.06450001647075
FRA,AFG,2019,external_target_salience,20,9,9,3.20765,2.5089499868452547
FRA,AFG,2020,external_target_salience,2,2,2,3.247,0.318000003695488
FRA,AFG,2021,external_target_salience,9,9,7,3.211222222222222,1.2892222251329157
FRA,AFG,2022,external_target_salience,3,2,2,3.204,1.8583333194255829
GRC,AFG,2015,external_target_salience,18,16,15,3.262388888888889,0.8786111184292369
GRC,AFG,2016,external_target_salience,23,20,16,3.261304347826087,1.1521739222757195
GRC,AFG,2017,external_target_salience,4,4,2,3.262,0.28225000109523535
GRC,AFG,2019,external_target_salience,29,22,17,3.27451724137931,1.1258620678864677
GRC,AFG,2020,external_target_salience,23,22,13,3.251608695652174,0.7929565313717594
GRC,AFG,2021,external_target_salience,56,35,29,3.219785714285714,0.9919285721012524
HRV,AFG,2015,external_target_salience,5,5,4,3.2418,1.0413999781012535
HRV,AFG,2016,external_target_salience,11,9,4,3.278363636363636,1.1990000182254748
HRV,AFG,2017,external_target_salience,17,7,3,3.257529411764706,0.6234117739779108
HRV,AFG,2018,external_target_salience,29,14,8,3.25051724137931,1.6366206895046194
HRV,AFG,2019,external_target_salience,10,7,5,3.2409999999999997,1.129400010406971
HRV,AFG,2020,external_target_salience,12,10,6,3.263333333333333,0.6844166705074409
HRV,AFG,2021,external_target_salience,11,8,8,3.248090909090909,1.422636367380619
HRV,AFG,2022,external_target_salience,5,5,2,3.2352000000000003,0.7680000185966491
HUN,AFG,2015,external_target_salience,25,22,15,3.2326799999999998,1.3673599916696548
HUN,AFG,2016,external_target_salience,2,2,2,3.224,0.9860000014305115
HUN,AFG,2017,external_target_salience,16,6,6,3.247125,1.6759999888017774
HUN,AFG,2019,external_target_salience,2,2,2,3.2270000000000003,3.3100000619888306
HUN,AFG,2020,external_target_salience,2,1,1,3.192,2.7130000591278076
HUN,AFG,2021,external_target_salience,25,17,12,3.2454,1.1001200045645236
HUN,AFG,2022,external_target_salience,2,1,1,3.255,0.36149999406188726
ISL,AFG,2015,external_target_salience,4,4,4,3.2295,0.8237499967217445
ISL,AFG,2016,external_target_salience,1,1,1,3.219,0.5320000052452087
ISL,AFG,2019,external_target_salience,1,1,1,3.129,0.7639999985694885
ISL,AFG,2020,external_target_salience,3,3,3,3.1776666666666666,1.5976666609446208
ISL,AFG,2021,external_target_salience,11,6,2,3.260818181818182,2.102818162603812
ISL,AFG,2022,external_target_salience,25,20,11,3.2533600000000003,1.6338399946689606
ITA,AFG,2013,external_target_salience,1,1,1,3.214,1.2430000305175781
ITA,AFG,2014,external_target_salience,6,5,5,3.1645000000000003,1.6803333063920338
ITA,AFG,2015,external_target_salience,11,9,9,3.199363636363636,0.9023636267943815
ITA,AFG,2017,external_target_salience,12,11,10,3.205416666666667,1.7298333519914497
ITA,AFG,2019,external_target_salience,3,3,3,3.1779999999999995,2.1096666008234024
ITA,AFG,2020,external_target_salience,2,2,2,3.2045000000000003,1.2695000171661377
ITA,AFG,2021,external_target_salience,26,14,14,3.203730769230769,1.9024230829225137
ITA,AFG,2022,external_target_salience,3,3,3,3.241666666666667,1.4236666671931744
LVA,AFG,2017,external_target_salience,3,1,1,3.1453333333333333,4.09499994913737
LVA,AFG,2019,external_target_salience,1,1,1,3.19,0.1120000034570694
LVA,AFG,2021,external_target_salience,2,1,1,3.3085,0.8399999961256981
NLD,AFG,2015,external_target_salience,24,22,17,3.250625,1.1648333337313186
NLD,AFG,2016,external_target_salience,33,26,15,3.2752727272727276,1.317727273485313
NLD,AFG,2017,external_target_salience,53,23,13,3.2601132075471697,1.836660377610967
NLD,AFG,2018,external_target_salience,35,23,14,3.2748285714285714,1.5920000050749097
NLD,AFG,2019,external_target_salience,10,9,8,3.2590000000000003,1.8682999797165394
NLD,AFG,2020,external_target_salience,11,9,5,3.3114545454545454,0.5244545533364131
NLD,AFG,2021,external_target_salience,136,80,37,3.262911764705882,1.4984191207708244
NLD,AFG,2022,external_target_salience,15,12,8,3.264866666666667,1.0305999917288622
NOR,AFG,2015,external_target_salience,192,80,28,3.2708020833333333,1.6364375040284358
NOR,AFG,2016,external_target_salience,21,18,13,3.2444761904761905,0.9394285877545675
NOR,AFG,2017,external_target_salience,132,47,28,3.2582651515151517,1.3853106082145434
NOR,AFG,2018,external_target_salience,91,26,20,3.227010989010989,1.617571432675634
NOR,AFG,2019,external_target_salience,65,26,15,3.2646615384615387,1.3578461436268228
NOR,AFG,2020,external_target_salience,11,8,5,3.3108181818181817,1.4919090806083246
NOR,AFG,2021,external_target_salience,8,8,8,3.25575,1.4933749898336828
NOR,AFG,2022,external_target_salience,9,8,7,3.2295555555555557,0.9982222070296606
POL,AFG,2016,external_target_salience,7,5,5,3.174285714285714,1.8064285154853548
POL,AFG,2017,external_target_salience,2,2,2,3.214,1.2369999438524246
POL,AFG,2019,external_target_salience,1,1,1,3.225,3.937999963760376
POL,AFG,2021,external_target_salience,22,16,13,3.3153636363636365,1.1058181806795553
POL,AFG,2022,external_target_salience,9,8,8,3.261222222222222,1.5005555459194713
PRT,AFG,2015,external_target_salience,2,2,2,3.189,0.8105000294744968
PRT,AFG,2017,external_target_salience,1,1,1,3.173,0.03099999949336052
PRT,AFG,2021,external_target_salience,11,10,7,3.1908181818181816,1.9256363809108734
PRT,AFG,2022,external_target_salience,1,1,1,3.145,0.22699999809265137
SRB,AFG,2015,external_target_salience,5,4,4,3.2403999999999997,1.3914000116288663
SRB,AFG,2016,external_target_salience,1,1,1,3.224,0.7699999809265137
SRB,AFG,2017,external_target_salience,4,3,3,3.322,0.520249993307516
SRB,AFG,2018,external_target_salience,5,5,4,3.255,2.3206000089645387
SRB,AFG,2019,external_target_salience,5,5,3,3.2286,0.6087999997660518
SRB,AFG,2020,external_target_salience,1,1,1,3.247,2.4800000190734863
SRB,AFG,2021,external_target_salience,10,6,6,3.2743,0.5511999969370663
SVN,AFG,2015,external_target_salience,20,16,11,3.2593000000000005,1.912899984419346
SVN,AFG,2016,external_target_salience,25,19,14,3.2489600000000003,1.207319988682866
SVN,AFG,2017,external_target_salience,5,5,3,3.2369999999999997,0.9918000131845475
SVN,AFG,2018,external_target_salience,5,4,3,3.313,1.4027999870479106
SVN,AFG,2019,external_target_salience,12,9,7,3.2274166666666666,1.7352499862511952
SVN,AFG,2020,external_target_salience,5,3,3,3.2074,1.4547999978065491
SVN,AFG,2021,external_target_salience,14,11,9,3.220928571428572,1.935857132077217
SVN,AFG,2022,external_target_salience,6,4,4,3.2404999999999995,2.2760000228881836
SWE,AFG,2015,external_target_salience,26,19,16,3.2792692307692306,1.171038467150468
SWE,AFG,2016,external_target_salience,66,44,24,3.2411818181818184,2.03248486392708
SWE,AFG,2017,external_target_salience,74,47,26,3.235054054054054,1.4468378394439414
SWE,AFG,2018,external_target_salience,55,22,18,3.2587818181818182,1.1615454585714773
SWE,AFG,2019,external_target_salience,67,27,9,3.263537313432836,1.618343282796776
SWE,AFG,2020,external_target_salience,35,21,7,3.2994285714285714,2.4097428353769437
SWE,AFG,2021,external_target_salience,102,51,24,3.2523333333333335,1.665450977344139
SWE,AFG,2022,external_target_salience,24,11,7,3.261125,0.9815833317892005
TUR,AFG,2016,external_target_salience,24,18,15,3.2293333333333334,1.1289166531835992
TUR,AFG,2017,external_target_salience,9,4,4,3.2775555555555553,1.5368888709280226
TUR,AFG,2018,external_target_salience,15,6,6,3.2487333333333335,0.8690666737655799
TUR,AFG,2019,external_target_salience,16,12,12,3.2374375,1.2604375230148435
TUR,AFG,2020,external_target_salience,12,9,9,3.2900833333333335,1.3656666750709217
TUR,AFG,2021,external_target_salience,9,7,7,3.2503333333333333,1.0789999797836773
TUR,AFG,2022,external_target_salience,11,9,8,3.205,0.2074545438994061
UKR,AFG,2021,external_target_salience,4,2,2,3.299,3.7760000228881836
BEL,AGO,2016,external_target_salience,1,1,1,3.183,2.6470000743865967
BEL,AGO,2017,external_target_salience,3,2,2,3.297,0.9913332959016165
BEL,AGO,2020,external_target_salience,1,1,1,3.278,2.694999933242798
HUN,AGO,2017,external_target_salience,1,1,1,3.175,3.187000036239624
HUN,AGO,2018,external_target_salience,1,1,1,3.3,2.678999900817871
NLD,AGO,2015,external_target_salience,1,1,1,3.139,0.24699999392032623
NLD,AGO,2017,external_target_salience,1,1,1,3.348,2.993000030517578
PRT,AGO,2018,external_target_salience,2,1,1,3.1965000000000003,4.0665000677108765
PRT,AGO,2020,external_target_salience,1,1,1,3.211,0.3880000114440918
PRT,AGO,2022,external_target_salience,3,3,3,3.23,0.8653333236773809
